#;address;location;type;places;area;work_hours
75;Вул. Михайла Грушевського (вул. Карла Лібкнехта), в районі буд. № № 6 – 12;48.460165, 35.043361;on_road_center;17;195,5;8.00 – 20.00, щоденно, крім суботи та неділі
76;Вул. Січових стрільців (вул. Артема), в районі буд. № № 1 – 3;48.462199, 35.048988;on_road_center;25;287,5;8.00 – 20.00, щоденно, крім суботи та неділі
77;Вул. Січових стрільців (вул. Артема) від вул. Шевченка до просп. Дмитра Яворницького (просп. Карла Маркса);48.459587, 35.045748;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
78;Вул. Січових стрільців (вул. Артема), в районі буд. № № 3 А – 9;48.461218, 35.047742;on_road_center;30;345;8.00 – 20.00, щоденно, крім суботи та неділі
79;Вул. Січових стрільців (вул. Артема), в районі буд. № № 4 Д – 8 А;48.460863, 35.046970;on_road_center;25;287,5;8.00 – 20.00, щоденно, крім суботи та неділі
80;Вул. Січових стрільців (вул. Артема), в районі буд. № № 13 – 19;48.459325, 35.045454;on_road_center;38;437;8.00 – 20.00, щоденно, крім суботи та неділі
81;Вул. Січових стрільців (вул. Артема), в районі буд. № № 12 – 16;48.459437, 35.045247;on_road_center;28;322;8.00 – 20.00, щоденно, крім суботи та неділі
82;Вул. Гоголя, в районі буд. № № 7 – 9;48.458749, 35.053758;on_road_center;30;345;8.00 – 18.00, щоденно, крім суботи та неділі
83;Вул. Володимира Моссаковського (вул. Клари Цеткін), в районі буд. № 9 А;48.455020, 35.054023;on_road_center;14;161;8.00 – 18.00, щоденно, крім суботи та неділі
84;Вул. Василя Жуковського (вул. Жуковського), в районі буд. № 2 Б;48.456844, 35.058869;on_road_center;20;230;8.00 – 18.00, щоденно, крім суботи та неділі
85;Вул. Василя Жуковського (вул. Жуковського), в районі буд. № № 1 – 9;48.456630, 35.058848;on_road_center;32;368;8.00 – 18.00, щоденно, крім суботи та неділі
86;Вул. Василя Жуковського (вул. Жуковського), в районі буд. № 4 А;48.455457, 35.057213;on_road_center;17;195,5;8.00 – 18.00, щоденно, крім суботи та неділі
87;Вул. Василя Жуковського (вул. Жуковського), в районі буд. № 21 А;48.454829, 35.056750;on_road_center;28;322;8.00 – 18.00, щоденно, крім суботи та неділі
88;Вул. Василя Жуковського (вул. Жуковського), в районі буд. № 6 А;48.454060, 35.055591;on_road_center;16;184;8.00 – 18.00, щоденно, крім суботи та неділі
89;Просп. Дмитра Яворницького (просп. Карла Маркса), 19 (корп. 1, 2) по вул. Олеся Гончара, 5;48.455597, 35.060830;on_road_center;16;184;8.00 – 20.00, щоденно, крім суботи та неділі
90;Вул. Олеся Гончара, в районі буд. № № 2 – 6;48.455622, 35.060486;on_road_center;15;172,5;8.00 – 20.00, щоденно, крім суботи та неділі
91;Вул. Олеся Гончара, в районі буд. № № 8 – 14;48.454556, 35.059209;on_road_center;18;207;8.00 – 20.00, щоденно, крім суботи та неділі
92;Вул. Олеся Гончара, в районі буд. № № 7 – 9;48.453131, 35.057771;on_road_center;12;138;8.00 – 20.00, щоденно, крім суботи та неділі
93;Вул. Олеся Гончара, в районі буд. № № 28 А – 32;48.452270, 35.056357;on_road_center;12;138;8.00 – 20.00, щоденно, крім суботи та неділі
94;Просп. Гагаріна, в районі буд. № № 16 – 22;48.448811, 35.058164;on_road_center;26;299;8.00 – 18.00, щоденно, крім суботи та неділі
95;Вул. Чернишевського, в районі буд. № 21;48.450891, 35.056905;on_road_center;14;161;8.00 – 20.00, щоденно, крім суботи та неділі
96;Вул. Чернишевського, в районі буд. № № 27 – 29;48.451946, 35.054781;on_road_center;28;322;8.00 – 20.00, щоденно, крім суботи та неділі
97;Вул. Святослава Хороброго (вул. Чкалова), в районі буд. № № 4 – 10;48.457501, 35.045865;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
98;Вул. Святослава Хороброго (вул. Чкалова), в районі буд. № № 18 – 20;48.460406, 35.040539;on_road_center;24;276;8.00 – 20.00, щоденно, крім суботи та неділі
99;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 4 – 8;48.459516, 35.047161;on_road_center;12;138;8.00 – 20.00, щоденно, крім суботи та неділі
100;Вул. Старокозацька (вул. Комсомольська), в районі буд. № 3;48.459559, 35.046631;on_road_center;16;184;8.00 – 20.00, щоденно, крім суботи та неділі
101;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 7 – 9;48.460436, 35.045142;on_road_center;22;253;8.00 – 20.00, щоденно, крім суботи та неділі
102;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 13 – 15;48.461361, 35.043495;on_road_center;16;184;8.00 – 20.00, щоденно, крім суботи та неділі
103;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 16 – 18;48.462425, 35.041859;on_road_center;18;207;8.00 – 20.00, щоденно, крім суботи та неділі
104;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 22 – 34;48.463425, 35.040014;on_road_center;44;506;8.00 – 20.00, щоденно, крім суботи та неділі
105;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 25 – 37;48.463123, 35.040247;on_road_center;33;379,5;8.00 – 20.00, щоденно, крім суботи та неділі
106;Вул. Старокозацька (вул. Комсомольська), в районі буд. № № 41 – 57;48.465015, 35.036889;on_road_center;44;506;8.00 – 20.00, щоденно, крім суботи та неділі
107;Вул. Шевченка, в районі буд. № № 14 – 18;48.459033, 35.052451;on_road_center;16;184;8.00 – 20.00, щоденно, крім суботи та неділі
108;Вул. Шевченка, в районі буд. № № 41 – 47;48.459364, 35.051295;on_road_center;24;276;8.00 – 20.00, щоденно
109;Вул. Шевченка, в районі буд. № № 30 – 34;48.460948, 35.048832;on_road_center;16;184;8.00 – 20.00, щоденно
110;Вул. Шевченка, в районі буд. № № 53 – 55;48.460598, 35.049088;on_road_center;15;172,5;8.00 – 20.00, щоденно
111;Вул. Шевченка, в районі буд. № № 36 – 38;48.461727, 35.047434;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
112;Вул. Шевченка, в районі буд. № 59;48.461843, 35.046840;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
113;Пл. Троїцька (пл. Червона), в районі буд. № № 2 – 3 А;48.463355, 35.043432;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
114;Вул. Челюскіна, в районі буд. № № 6 – 8;48.464713, 35.041777;on_road_center;40;460;8.00 – 20.00, щоденно
115;Вул. Європейська (вул. Миронова), в районі буд. № № 5 – 13;48.467149, 35.048337;on_road_center;23;264,5;8.00 – 20.00, щоденно
116;Вул. Європейська (вул. Миронова), в районі буд. № № 10 – 18 А;48.467105, 35.048466;on_road_center;30;345;8.00 – 20.00, щоденно
117;Вул. Глинки, в районі буд. № № 18 – 20;48.466801, 35.047261;on_road_center;27;310,5;8.00 – 20.00, щоденно
118;Вул. Глинки, в районі буд. № 12;48.466306, 35.048960;on_road_center;13;149,5;8.00 – 20.00, щоденно
119;Вул. Глинки (від вул. Михайла Коцюбинського до вул. Харківської);48.466075, 35.050815;on_road_center;39;448,5;8.00 – 22.00, щоденно
